prediction,probability_not_sarcastic,probability_sarcastic,ground_truth,correct
1,0.4789525,0.52104753,0,False
1,0.12096849,0.8790315,1,True
0,0.95075315,0.049246892,0,True
1,0.45816565,0.5418343,1,True
0,0.87389773,0.12610233,0,True
0,0.9948102,0.0051898165,0,True
0,0.88822883,0.11177122,0,True
0,0.74255013,0.25744992,0,True
0,0.82787836,0.1721217,0,True
0,0.63045377,0.3695462,0,True
0,0.681424,0.31857595,1,False
0,0.642352,0.35764804,0,True
0,0.9470144,0.052985575,0,True
0,0.50835794,0.49164197,0,True
1,0.317371,0.6826289,1,True
0,0.8569576,0.14304243,0,True
0,0.6279622,0.37203786,1,False
1,0.4046692,0.5953308,1,True
0,0.6338515,0.3661485,1,False
0,0.5373476,0.46265236,0,True
0,0.8417006,0.15829942,0,True
0,0.66129994,0.3387001,0,True
1,0.29684687,0.7031531,1,True
0,0.6595455,0.34045452,0,True
0,0.97568774,0.024312314,0,True
1,0.41975498,0.580245,1,True
1,0.2218175,0.7781825,0,False
0,0.78604525,0.21395476,0,True
0,0.7911549,0.20884506,0,True
0,0.9507557,0.04924425,0,True
1,0.43176496,0.5682351,1,True
1,0.15705372,0.84294623,0,False
1,0.3596126,0.64038736,1,True
0,0.8976813,0.10231877,0,True
0,0.5341367,0.4658633,0,True
0,0.7892962,0.21070379,0,True
1,0.21095543,0.78904456,1,True
1,0.29983503,0.700165,1,True
1,0.24218446,0.75781554,1,True
1,0.46882266,0.53117734,1,True
1,0.3206971,0.67930293,0,False
0,0.9837901,0.016209858,0,True
0,0.6287233,0.3712766,0,True
1,0.29020414,0.70979583,0,False
0,0.9941111,0.0058888965,0,True
1,0.10670979,0.8932902,1,True
0,0.6505323,0.34946772,0,True
1,0.35771975,0.6422803,1,True
0,0.55668515,0.44331488,0,True
1,0.36912358,0.6308764,0,False
0,0.93507755,0.064922445,0,True
1,0.12862626,0.8713738,1,True
0,0.7212513,0.27874866,0,True
0,0.8666786,0.13332145,1,False
1,0.23287602,0.767124,1,True
1,0.48097378,0.5190262,0,False
1,0.33651972,0.6634803,1,True
1,0.1824402,0.8175598,1,True
0,0.7314483,0.26855174,0,True
0,0.5607517,0.4392484,1,False
0,0.7764957,0.22350429,0,True
0,0.69621336,0.30378664,0,True
0,0.7758792,0.22412081,0,True
1,0.12750052,0.87249947,1,True
1,0.02962605,0.9703739,1,True
1,0.3223086,0.6776914,1,True
0,0.7775112,0.22248879,0,True
1,0.37998444,0.6200155,0,False
0,0.5169446,0.48305538,0,True
0,0.89339906,0.10660099,0,True
1,0.39887685,0.60112315,1,True
0,0.6864917,0.3135082,0,True
1,0.38179904,0.61820096,1,True
0,0.89103734,0.10896266,0,True
0,0.62744206,0.37255797,0,True
1,0.00637724,0.9936227,1,True
0,0.81720763,0.18279232,0,True
1,0.22919628,0.77080375,1,True
1,0.0023921018,0.9976078,1,True
1,0.060052507,0.9399474,1,True
1,0.05374213,0.9462578,1,True
1,0.25877085,0.7412291,1,True
0,0.82693994,0.17306001,0,True
1,0.0015085952,0.9984914,1,True
1,0.42919868,0.5708013,1,True
1,0.019618982,0.9803811,1,True
0,0.9039573,0.096042715,0,True
0,0.76799506,0.23200494,0,True
1,0.13669243,0.8633076,1,True
1,0.24274464,0.7572553,1,True
1,0.26920953,0.7307905,1,True
0,0.6857678,0.31423223,0,True
1,0.4179456,0.5820544,1,True
0,0.8223664,0.1776336,0,True
1,0.4535723,0.5464277,0,False
1,0.32292596,0.677074,1,True
0,0.91469127,0.08530878,0,True
0,0.9910035,0.008996518,0,True
0,0.6196063,0.38039365,0,True
1,0.18540598,0.81459403,1,True
0,0.81044984,0.18955012,0,True
1,0.37761748,0.6223825,0,False
1,0.30838165,0.6916184,1,True
1,0.3577061,0.6422939,1,True
1,0.19225743,0.8077426,1,True
0,0.91296923,0.08703072,0,True
0,0.6544128,0.34558722,0,True
1,0.44811016,0.55188984,0,False
0,0.6878557,0.31214434,0,True
0,0.86896795,0.13103205,0,True
0,0.81796205,0.18203792,0,True
1,0.2766021,0.7233979,1,True
1,0.38574514,0.6142549,1,True
0,0.8905428,0.10945713,0,True
0,0.97641695,0.023583055,0,True
0,0.7429905,0.2570095,1,False
0,0.8608226,0.13917738,0,True
0,0.8133049,0.18669513,0,True
0,0.5085542,0.49144575,1,False
0,0.807734,0.19226594,0,True
0,0.8605426,0.13945742,0,True
1,0.34622785,0.6537722,1,True
1,0.40316087,0.5968392,1,True
1,0.0015119675,0.99848795,1,True
1,0.16740148,0.8325985,1,True
0,0.8727667,0.12723339,0,True
0,0.78630686,0.21369307,1,False
0,0.66738474,0.33261523,1,False
0,0.8223993,0.17760073,0,True
1,0.4707244,0.52927566,0,False
0,0.85177386,0.14822613,0,True
